query_id,agent_exp,preset6_exp,delta_exp,agent_linear,preset6_linear,delta_linear
PLAIN-1008,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1018,0.4990267326507382,0.4922818839877925,0.006744848662945724,0.4990267326507382,0.4922818839877925,0.006744848662945724
PLAIN-102,0.1655298325226388,0.14868624537844896,0.016843587144189848,0.13950192531885103,0.12530682344457728,0.014195101874273752
PLAIN-1028,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1039,1.0,1.0,0.0,1.0,1.0,0.0
PLAIN-1050,0.06362078819895171,0.06362078819895171,0.0,0.06362078819895171,0.06362078819895171,0.0
PLAIN-1066,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1088,0.5531464700081437,0.5531464700081437,0.0,0.5531464700081437,0.5531464700081437,0.0
PLAIN-1098,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1109,0.604685538711841,0.604685538711841,0.0,0.604685538711841,0.604685538711841,0.0
PLAIN-1119,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-112,0.4655121707617589,0.4439982334711379,0.021513937290620955,0.4222280166138916,0.40271448368754525,0.019513532926346333
PLAIN-1130,1.0,1.0,0.0,1.0,1.0,0.0
PLAIN-1141,0.22009176629808017,0.22009176629808017,0.0,0.22009176629808017,0.22009176629808017,0.0
PLAIN-1151,0.23680742154717782,0.23440650992329987,0.002400911623877955,0.23680742154717782,0.23440650992329987,0.002400911623877955
PLAIN-1161,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1172,0.22009176629808017,0.22009176629808017,0.0,0.22009176629808017,0.22009176629808017,0.0
PLAIN-1183,0.28952298823485745,0.28952298823485745,0.0,0.28952298823485745,0.28952298823485745,0.0
PLAIN-1193,0.06362078819895171,0.06362078819895171,0.0,0.06362078819895171,0.06362078819895171,0.0
PLAIN-12,0.0,0.0,0.0,0.0,0.0,0.0
PLAIN-1203,0.3589542101716347,0.3589542101716347,0.0,0.3589542101716347,0.3589542101716347,0.0
PLAIN-1214,0.0,0.0,0.0,0.0,0.0,0.0
